_,_,_,_,a,b,e,r,r,(.
_,_,_,a,b,e,r,r,a,b.
_,_,a,b,e,r,r,a,t,^.
_,a,b,e,r,r,a,t,i,r.
a,b,e,r,r,a,t,i,o,-.
b,e,r,r,a,t,i,o,n,1.
e,r,r,a,t,i,o,n,_,-.
r,r,a,t,i,o,n,_,_,S.
r,a,t,i,o,n,_,_,_,-.
a,t,i,o,n,_,_,_,_,H.
_,_,_,_,a,b,o,v,e,^.
_,_,_,a,b,o,v,e,m,b.
_,_,a,b,o,v,e,m,e,V.
_,a,b,o,v,e,m,e,n,v.
a,b,o,v,e,m,e,n,t,-.
b,o,v,e,m,e,n,t,i,m.
o,v,e,m,e,n,t,i,o,E.
v,e,m,e,n,t,i,o,n,n.
e,m,e,n,t,i,o,n,e,-.
m,e,n,t,i,o,n,e,d,S.
e,n,t,i,o,n,e,d,_,-.
n,t,i,o,n,e,d,_,_,H.
t,i,o,n,e,d,_,_,_,-.
i,o,n,e,d,_,_,_,_,d.
_,_,_,_,a,b,u,s,i,^.
_,_,_,a,b,u,s,i,n,b.
_,_,a,b,u,s,i,n,g,).
_,a,b,u,s,i,n,g,_,z.
a,b,u,s,i,n,g,_,_,I.
b,u,s,i,n,g,_,_,_,-.
u,s,i,n,g,_,_,_,_,N.
_,_,_,_,a,c,c,o,m,^.
_,_,_,a,c,c,o,m,p,k.
_,_,a,c,c,o,m,p,a,V.
_,a,c,c,o,m,p,a,n,-.
a,c,c,o,m,p,a,n,i,m.
c,c,o,m,p,a,n,i,e,p.
c,o,m,p,a,n,i,e,s,^.
o,m,p,a,n,i,e,s,_,n.
m,p,a,n,i,e,s,_,_,I.
p,a,n,i,e,s,_,_,_,-.
a,n,i,e,s,_,_,_,_,z.
_,_,_,_,a,c,h,i,e,^.
_,_,_,a,c,h,i,e,v,-.
_,_,a,c,h,i,e,v,e,J.
_,a,c,h,i,e,v,e,d,-.
a,c,h,i,e,v,e,d,_,i.
c,h,i,e,v,e,d,_,_,v.
h,i,e,v,e,d,_,_,_,-.
i,e,v,e,d,_,_,_,_,d.
_,_,_,_,a,c,t,i,o,(.
_,_,_,a,c,t,i,o,n,+.
_,_,a,c,t,i,o,n,s,-.
_,a,c,t,i,o,n,s,_,-.
a,c,t,i,o,n,s,_,_,-.
c,t,i,o,n,s,_,_,_,H.
t,i,o,n,s,_,_,_,_,z.
_,_,_,_,a,d,d,u,c,^.
_,_,_,a,d,d,u,c,e,d.
_,_,a,d,d,u,c,e,_,-.
_,a,d,d,u,c,e,_,_,).
a,d,d,u,c,e,_,_,_,s.
d,d,u,c,e,_,_,_,_,-.
_,_,_,_,a,d,m,i,s,^.
_,_,_,a,d,m,i,s,s,d.
_,_,a,d,m,i,s,s,i,m.
_,a,d,m,i,s,s,i,b,I.
a,d,m,i,s,s,i,b,i,s.
d,m,i,s,s,i,b,i,l,^.
m,i,s,s,i,b,i,l,i,-.
i,s,s,i,b,i,l,i,t,b.
s,s,i,b,i,l,i,t,y,I.
s,i,b,i,l,i,t,y,_,l.
i,b,i,l,i,t,y,_,_,^.
b,i,l,i,t,y,_,_,_,t.
i,l,i,t,y,_,_,_,_,I.
_,_,_,_,a,d,v,a,n,^.
_,_,_,a,d,v,a,n,t,d.
_,_,a,d,v,a,n,t,a,v.
_,a,d,v,a,n,t,a,g,#.
a,d,v,a,n,t,a,g,e,n.
d,v,a,n,t,a,g,e,s,t.
v,a,n,t,a,g,e,s,_,I.
a,n,t,a,g,e,s,_,_,_.
n,t,a,g,e,s,_,_,_,I.
t,a,g,e,s,_,_,_,_,z.
_,_,_,_,a,f,g,h,a,(.
_,_,_,a,f,g,h,a,n,f.
_,_,a,f,g,h,a,n,i,g.
_,a,f,g,h,a,n,i,s,-.
a,f,g,h,a,n,i,s,t,(.
f,g,h,a,n,i,s,t,a,n.
g,h,a,n,i,s,t,a,n,I.
h,a,n,i,s,t,a,n,i,s.
a,n,i,s,t,a,n,i,_,t.
n,i,s,t,a,n,i,_,_,#.
i,s,t,a,n,i,_,_,_,n.
s,t,a,n,i,_,_,_,_,I.
_,_,_,_,a,g,g,r,a,^.
_,_,_,a,g,g,r,a,n,g.
_,_,a,g,g,r,a,n,d,-.
_,a,g,g,r,a,n,d,i,r.
a,g,g,r,a,n,d,i,z,(.
g,g,r,a,n,d,i,z,e,n.
g,r,a,n,d,i,z,e,m,d.
r,a,n,d,i,z,e,m,e,I.
a,n,d,i,z,e,m,e,n,z.
n,d,i,z,e,m,e,n,t,-.
d,i,z,e,m,e,n,t,_,m.
i,z,e,m,e,n,t,_,_,^.
z,e,m,e,n,t,_,_,_,n.
e,m,e,n,t,_,_,_,_,t.
_,_,_,_,a,i,d,e,d,1.
_,_,_,a,i,d,e,d,_,-.
_,_,a,i,d,e,d,_,_,d.
_,a,i,d,e,d,_,_,_,I.
a,i,d,e,d,_,_,_,_,d.
_,_,_,_,a,i,r,l,i,-.
_,_,_,a,i,r,l,i,f,-.
_,_,a,i,r,l,i,f,t,8.
_,a,i,r,l,i,f,t,e,l.
a,i,r,l,i,f,t,e,d,I.
i,r,l,i,f,t,e,d,_,f.
r,l,i,f,t,e,d,_,_,t.
l,i,f,t,e,d,_,_,_,I.
i,f,t,e,d,_,_,_,_,d.
_,_,_,_,a,l,e,r,t,^.
_,_,_,a,l,e,r,t,n,l.
_,_,a,l,e,r,t,n,e,-.
_,a,l,e,r,t,n,e,s,3.
a,l,e,r,t,n,e,s,s,t.
l,e,r,t,n,e,s,s,_,n.
e,r,t,n,e,s,s,_,_,^.
r,t,n,e,s,s,_,_,_,s.
t,n,e,s,s,_,_,_,_,-.
_,_,_,_,a,l,l,e,g,^.
_,_,_,a,l,l,e,g,r,l.
_,_,a,l,l,e,g,r,o,1.
_,a,l,l,e,g,r,o,s,-.
a,l,l,e,g,r,o,s,_,g.
l,l,e,g,r,o,s,_,_,r.
l,e,g,r,o,s,_,_,_,5.
e,g,r,o,s,_,_,_,_,z.
_,_,_,_,a,l,o,o,f,^.
_,_,_,a,l,o,o,f,n,l.
_,_,a,l,o,o,f,n,e,u.
_,a,l,o,o,f,n,e,s,-.
a,l,o,o,f,n,e,s,s,f.
l,o,o,f,n,e,s,s,_,n.
o,o,f,n,e,s,s,_,_,^.
o,f,n,e,s,s,_,_,_,s.
f,n,e,s,s,_,_,_,_,-.
_,_,_,_,a,m,a,r,y,(.
_,_,_,a,m,a,r,y,l,m.
_,_,a,m,a,r,y,l,l,^.
_,a,m,a,r,y,l,l,i,r.
a,m,a,r,y,l,l,i,s,I.
m,a,r,y,l,l,i,s,e,l.
a,r,y,l,l,i,s,e,s,-.
r,y,l,l,i,s,e,s,_,I.
y,l,l,i,s,e,s,_,_,s.
l,l,i,s,e,s,_,_,_,I.
l,i,s,e,s,_,_,_,_,z.
_,_,_,_,a,m,e,r,i,(.
_,_,_,a,m,e,r,i,n,m.
_,_,a,m,e,r,i,n,d,^.
_,a,m,e,r,i,n,d,i,r.
a,m,e,r,i,n,d,i,a,I.
m,e,r,i,n,d,i,a,n,n.
e,r,i,n,d,i,a,n,s,d.
r,i,n,d,i,a,n,s,_,7.
i,n,d,i,a,n,s,_,_,-.
n,d,i,a,n,s,_,_,_,n.
d,i,a,n,s,_,_,_,_,z.
_,_,_,_,a,n,a,t,h,^.
_,_,_,a,n,a,t,h,e,n.
_,_,a,n,a,t,h,e,m,(.
_,a,n,a,t,h,e,m,a,-.
a,n,a,t,h,e,m,a,t,T.
n,a,t,h,e,m,a,t,i,-.
a,t,h,e,m,a,t,i,z,F.
t,h,e,m,a,t,i,z,e,^.
h,e,m,a,t,i,z,e,_,t.
e,m,a,t,i,z,e,_,_,2.
m,a,t,i,z,e,_,_,_,z.
a,t,i,z,e,_,_,_,_,-.
_,_,_,_,a,n,g,l,i,(.
_,_,_,a,n,g,l,i,c,N.
_,_,a,n,g,l,i,c,i,g.
_,a,n,g,l,i,c,i,s,l.
a,n,g,l,i,c,i,s,m,I.
n,g,l,i,c,i,s,m,_,s.
g,l,i,c,i,s,m,_,_,I.
l,i,c,i,s,m,_,_,_,z.
i,c,i,s,m,_,_,_,_,F.
_,_,_,_,a,n,n,o,t,(.
_,_,_,a,n,n,o,t,a,n.
_,_,a,n,n,o,t,a,t,-.
_,a,n,n,o,t,a,t,i,5.
a,n,n,o,t,a,t,i,n,t.
n,n,o,t,a,t,i,n,g,1.
n,o,t,a,t,i,n,g,_,t.
o,t,a,t,i,n,g,_,_,I.
t,a,t,i,n,g,_,_,_,-.
a,t,i,n,g,_,_,_,_,N.
_,_,_,_,a,n,t,e,c,(.
_,_,_,a,n,t,e,c,h,n.
_,_,a,n,t,e,c,h,a,t.
_,a,n,t,e,c,h,a,m,-.
a,n,t,e,c,h,a,m,b,I.
n,t,e,c,h,a,m,b,e,J.
t,e,c,h,a,m,b,e,r,1.
e,c,h,a,m,b,e,r,_,m.
c,h,a,m,b,e,r,_,_,b.
h,a,m,b,e,r,_,_,_,^.
a,m,b,e,r,_,_,_,_,R.
_,_,_,_,a,n,t,i,h,(.
_,_,_,a,n,t,i,h,i,n.
_,_,a,n,t,i,h,i,s,t.
_,a,n,t,i,h,i,s,t,I.
a,n,t,i,h,i,s,t,a,h.
n,t,i,h,i,s,t,a,m,I.
t,i,h,i,s,t,a,m,i,s.
i,h,i,s,t,a,m,i,n,t.
h,i,s,t,a,m,i,n,e,-.
i,s,t,a,m,i,n,e,s,F.
s,t,a,m,i,n,e,s,_,I.
t,a,m,i,n,e,s,_,_,n.
a,m,i,n,e,s,_,_,_,-.
m,i,n,e,s,_,_,_,_,z.
_,_,_,_,a,p,h,o,r,(.
_,_,_,a,p,h,o,r,i,-.
_,_,a,p,h,o,r,i,s,f.
_,a,p,h,o,r,i,s,t,^.
a,p,h,o,r,i,s,t,i,r.
p,h,o,r,i,s,t,i,c,I.
h,o,r,i,s,t,i,c,_,s.
o,r,i,s,t,i,c,_,_,t.
r,i,s,t,i,c,_,_,_,I.
i,s,t,i,c,_,_,_,_,k.
_,_,_,_,a,p,p,e,a,^.
_,_,_,a,p,p,e,a,l,p.
_,_,a,p,p,e,a,l,i,-.
_,a,p,p,e,a,l,i,n,i.
a,p,p,e,a,l,i,n,g,-.
p,p,e,a,l,i,n,g,_,l.
p,e,a,l,i,n,g,_,_,I.
e,a,l,i,n,g,_,_,_,-.
a,l,i,n,g,_,_,_,_,N.
_,_,_,_,a,p,p,r,e,(.
_,_,_,a,p,p,r,e,h,p.
_,_,a,p,p,r,e,h,e,-.
_,a,p,p,r,e,h,e,n,r.
a,p,p,r,e,h,e,n,d,I.
p,p,r,e,h,e,n,d,_,h.
p,r,e,h,e,n,d,_,_,E.
r,e,h,e,n,d,_,_,_,n.
e,h,e,n,d,_,_,_,_,d.
_,_,_,_,a,r,ê,t,e,^.
_,_,_,a,r,ê,t,e,_,r.
_,_,a,r,ê,t,e,_,_,1.
_,a,r,ê,t,e,_,_,_,t.
a,r,ê,t,e,_,_,_,_,-.
_,_,_,_,a,r,m,h,o,#.
